entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events,siem_unique_users,pan_unique_users
tmtp-000112,2025-12-18,3,0,14085,20,53,13,1,15,24,0.2257720979765708,0.4823571175008874,10245,701,1,0,1,24,0.1715959004392386,0.6254758418740849,0.4210850801479655,6,1
tmtp-000112,2025-12-19,4,0,12916,18,54,15,1,20,24,0.1771446268194487,0.4842056364199442,9589,478,1,0,1,24,0.0294086974658462,0.6652414224632391,0.4260830926460786,6,1
tmtp-000112,2025-12-20,5,1,10431,17,42,19,1,21,24,0.2434090691208896,0.3710094909404659,1453,144,1,0,1,24,0.1940812112869924,0.296627666896077,0.1222652305621003,5,1
tmtp-000112,2025-12-21,6,1,11252,18,24,22,1,25,24,0.2580874511198009,0.4049946676146463,1106,80,1,0,1,24,0.255877034358047,0.3806509945750452,0.0894966823110535,4,1
tmtp-000112,2025-12-22,0,0,16232,17,48,11,1,13,24,0.2691596845736816,0.5020330211927058,4917,412,1,0,1,24,0.0573520439292251,0.8529591214154972,0.2324932620927703,4,1
tmtp-000112,2025-12-23,1,0,13748,17,49,10,1,10,24,0.1776258364853069,0.5298952574919988,3642,366,1,0,1,24,0.0870400878638111,0.7023613399231191,0.2094307073030477,4,1
tmtp-000112,2025-12-24,2,0,11880,17,50,11,1,12,24,0.231986531986532,0.4558922558922559,3509,409,3,0,1,24,0.1393559418637788,0.6514676546024508,0.2280200142959256,4,1
tmtp-000112,2025-12-25,3,0,11572,18,44,11,1,11,24,0.229433114414103,0.4404597303836847,6337,484,2,0,1,24,0.1230866340539687,0.6635632002524854,0.3538444357585572,4,1
tmtp-000112,2025-12-26,4,0,12017,17,46,11,1,11,24,0.2114504452026296,0.4949654655904136,4141,334,2,0,1,24,0.0808983337358126,0.7416083071721806,0.2562817180344102,4,1
tmtp-000112,2025-12-27,5,1,9291,14,22,9,1,9,24,0.2625121084920891,0.3869335916478312,1640,157,3,0,1,24,0.173780487804878,0.4067073170731707,0.1500320190284512,4,1
tmtp-000112,2025-12-28,6,1,9552,18,47,17,1,20,24,0.2680067001675041,0.4258793969849246,1764,169,3,0,1,24,0.2590702947845805,0.4535147392290249,0.1558854718981972,6,1
tmtp-000112,2025-12-29,0,0,10801,17,46,11,1,13,24,0.1769280622164614,0.501897972409962,2199,234,3,0,1,24,0.1309686221009549,0.5075034106412005,0.1691538461538461,4,1
tmtp-000112,2025-12-30,1,0,10524,15,34,10,2,10,24,0.2536107943747624,0.4175218548080577,2709,251,3,0,1,24,0.2218530823181985,0.4178663713547434,0.2047154840172296,4,1
tmtp-000112,2025-12-31,2,0,10001,14,38,9,2,9,24,0.2561743825617438,0.4151584841515848,1698,219,3,0,1,24,0.1884570082449941,0.5212014134275619,0.1451406103085734,4,1
tmtp-000126,2025-12-01,0,0,2822,3,31,3,1,4,24,0.0903614457831325,0.651665485471297,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000126,2025-12-02,1,0,2849,3,36,3,1,4,24,0.1267111267111267,0.6563706563706564,0,0,0,0,0,0,0.0,0.0,0.0,7,0
tmtp-000126,2025-12-03,2,0,2998,3,31,4,1,5,24,0.119079386257505,0.632755170113409,0,0,0,0,0,0,0.0,0.0,0.0,11,0
tmtp-000126,2025-12-04,3,0,3295,3,35,5,1,9,24,0.165402124430956,0.6294385432473445,0,0,0,0,0,0,0.0,0.0,0.0,10,0
tmtp-000126,2025-12-05,4,0,2586,4,43,6,1,11,24,0.1156225831399845,0.5815931941221965,0,0,0,0,0,0,0.0,0.0,0.0,9,0
tmtp-000126,2025-12-06,5,1,1230,2,24,3,1,3,24,0.1520325203252032,0.3227642276422764,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000126,2025-12-07,6,1,967,2,14,3,1,3,24,0.2099276111685625,0.3815925542916236,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000126,2025-12-08,0,0,2803,3,45,6,1,13,24,0.1758829825187299,0.6004281127363539,0,0,0,0,0,0,0.0,0.0,0.0,11,0
tmtp-000126,2025-12-09,1,0,2317,3,40,4,1,5,24,0.0794130340958135,0.6555891238670695,0,0,0,0,0,0,0.0,0.0,0.0,7,0
tmtp-000126,2025-12-10,2,0,2371,2,33,4,1,4,24,0.1020666385491353,0.6845212990299452,0,0,0,0,0,0,0.0,0.0,0.0,7,0
